PG.ProteinGroups	STM_ID	ΔlppA early	ΔlppA late	ΔlppB early	ΔlppB late	WT early	WT late	WT early vs ΔlppA early	WT early vs ΔlppB early	WT late vs ΔlppA late	WT late vs ΔlppB late	ΔlppA early vs ΔlppB early	ΔlppA late vs ΔlppB late
A0A0H3NEM1	STM0827	94261.748046875	24009.9934082031	21159.880859375	18235.6408691406	24071.2431640625	18281.3522135417	-1.969361783806762	0.18597914761798964	-0.3932622215739454	0.0036118836058745283	2.155340931424752	0.39687410517981997
A0A0H3N9W0	STM0828	66795.3037109375	58325.494140625	302003.03125	286899.453125	300292.26953125	272494.244791667	2.168548758453141	-0.008195694311707621	2.2240272297440398	-0.07431945830354579	-2.1767444527648485	-2.2983466880475856
A0A0H3NJB9	STM0829	415789.3671875	398796.6796875	1012242.609375	774863.421875	1044947.4375	657524.291666667	1.3295056039743955	0.04587526470926924	0.7213907963553251	-0.23689784755612692	-1.2836303392651263	-0.958288643911452
A0A0H3NB33	STM0830	833093.328125	961376.453125	3090987.625	3111336.0625	3106419.625	2976411.16666667	1.8987026975717967	0.007184848433581626	1.6304004633705362	-0.0639603954285623	-1.891517849138215	-1.6943608587990984
A0A0H3N9D6	STM0831	7251636.0	8204793.125	2005321.875	1610431.46875	2151230.09375	1683680.25	-1.7531446675456634	0.10132801964136612	-2.284848777954481	0.06417091151350174	1.8544726871870298	2.3490196894679825
E1W9W8	STM0832	19485.7058105469	4402.31469726563	62267.8671875	20240.5145263672	56641.0908203125	13041.1901448568	1.5394328600743525	-0.13663881478131712	1.5667413522107687	-0.6341704281233941	-1.6760716748556697	-2.2009117803341627
A0A0H3NEM7	STM0833	28354151.0	15363679.25	12810530.5	6765119.0	14032265.5	7686268.33333333	-1.0148120088316994	0.1314177292116982	-0.9991685019724968	0.18416803107195728	1.1462297380433975	1.183336533044454
A0A0H3N9W4	STM0834	4892.40948486328	4732.94494628906	5334.72900390625	4355.34484863281	4791.42999267578	4291.97102864583	-0.03008886993253383	-0.15495869653595673	-0.14109780296511204	-0.021146615680690088	-0.12486982660342301	0.11995118728442193
A0A0H3NJC2	STM0835	72246.390625	99580.923828125	56763.15625	53154.3125	59933.9501953125	51219.9140625	-0.26955204962503987	0.0784186528094285	-0.9591645672150546	-0.05348191245006849	0.3479707024344685	0.9056826547649862
A0A0H3N9E1	STM0837	1547457.71875	1507588.4375	1440475.34375	1424838.5	1431616.6875	1448168.20833333	-0.11225472556425663	-0.008899700866442437	-0.05801345059421571	0.023430780191796834	0.10335502469781416	0.08144423078601247
A0A0H3NEN3	STM0838	149608.34765625	128882.51953125	318623.03125	276235.1484375	326587.28125	265231.635416667	1.126277931948075	0.035618053121287324	1.0411962599381068	-0.05864403854734774	-1.0906598788267874	-1.0998402984854547
A0A0H3N9W7	STM0839	10458.2993164063	9177.349609375	8878.00915527344	9126.58349609375	10864.4353027344	12183.9700520833	0.05496492416719416	0.291305088443476	0.4088348278632151	0.41683750217925974	0.23634016427628174	0.008002674316044869
A0A0H3NB44	STM0841	89177.876953125	77427.771484375	29010.9208984375	23430.4321289062	29614.2182617187	22652.884765625	-1.5903958507536355	0.029693911272628465	-1.7731563351604944	-0.04868877802315999	1.620089762026264	1.7244675571373345
A0A0H3N9E5	STM0842	330246.3984375	377733.09375	209787.109375	241082.03515625	204707.47265625	236155.765625	-0.6899790604175341	-0.03536226491516231	-0.6776284273455462	-0.02978539024221273	0.6546167955023718	0.6478430371033335
A0A0H3NJC9	STM0845	473206.0546875	487925.875	335269.6015625	271386.5859375	356107.96875	270429.010416667	-0.41015381338440515	0.0869930378735859	-0.8514120664668342	-0.005099487363771093	0.4971468512579913	0.8463125791030631
A0A0H3NB53	STM0846	369742.9296875	360874.28125	340919.4609375	311513.6015625	332274.25	337352.34375	-0.15414806608682569	-0.03705646222833972	-0.09724014408925019	0.11496102821309451	0.11709160385848591	0.21220117230234467
A0A0H3N9F2	STM0847	166095.890625	185706.30859375	202758.23828125	207556.0390625	198233.6015625	203825.567708333	0.25518514704608797	-0.03255900675613581	0.1343122076863755	-0.026165875978953673	-0.28774415380222396	-0.1604780836653292
A0A0H3NEP7	STM0848	93702.587890625	46416.1572265625	111066.98046875	112837.703125	125910.876953125	109808.434895833	0.42624211918648336	0.18097294118533788	1.2422898860606044	-0.03926032575931319	-0.24526917800114573	-1.2815502118199178
A0A0H3N9X5	STM0849	815687.921875	921407.40625	669234.296875	636710.234375	664490.59375	645589.1875	-0.29576851238234675	-0.010262604950511551	-0.5132227781593999	0.01997946212687614	0.2855059074318352	0.533202240286276
A0A0H3NJD3	STM0850	120546.93359375	32535.6186523438	133376.22265625	83918.8330078125	128380.2265625	85259.8046875	0.09082805921244522	-0.055078484116193656	1.3898457641044875	0.022871134744039602	-0.14590654332863906	-1.366974629360448
A0A0H3NB59	STM0851	15004.2100830078	7032.02465820313	98023.392578125	139307.173828125	121154.196289063	107955.309895833	3.0134051013379097	0.30564639051801545	3.9403502659740792	-0.3678353479749357	-2.707758710819894	-4.308185613949015
A0A0H3N9F8	STM0852	339362.171875	394848.6875	343446.5234375	380681.8828125	344212.3828125	384863.270833333	0.020473239233736482	0.003213517542253996	-0.03695389967901819	0.01576008344702671	-0.0172597216914824	0.05271398312604483
A0A0H3NEQ2	STM0853	13284.7844238281	13979.4050292969	4273.96948242187	3810.40887451172	4043.04901123047	4745.65568033854	-1.7162592193005968	-0.08013291414615098	-1.5586236250489742	0.3166616161302397	1.6361263051544457	1.8752852411792142
A0A0H3N9G3	STM0857	40516.8603515625	25978.3447265625	26042.1708984375	28924.3032226562	29278.646484375	24068.6015625	-0.468673522985333	0.16899914330237212	-0.11015718832607382	-0.2651298851190521	0.6376726662877051	-0.15497269679297845
A0A0H3NEQ7	STM0858	4820.90051269531	4608.490234375	4733.35321044922	4127.53991699219	4497.52270507812	4748.09716796875	-0.10017209290070003	-0.07373201759589398	0.0430552658992666	0.2020672921231928	0.026440075304806	0.1590120262239264
A0A0H3NB71	STM0861	4875.85357666016	4605.56317138672	3339.23986816406	4444.89672851562	3570.04507446289	5056.66707356771	-0.44971251258281736	0.0964225589902621	0.13480921501118018	0.18603689556993847	0.5461350715730794	0.05122768055875813
A0A0H3N9G9	STM0862	776661.890625	1244773.015625	355456.015625	376188.2578125	352936.1484375	364115.5	-1.1378794758523838	-0.010263849356499903	-1.77341462965974	-0.04705866182161958	1.1276156264958839	1.7263559678381204
A0A0H3NER6	STM0863	389321.8203125	466715.375	193795.96484375	164168.3515625	207669.3359375	161055.0	-0.9066749993726134	0.09974967453850477	-1.534989544464179	-0.027622580310524853	1.006424673911118	1.5073669641536542
A0A0H3N9Y4	STM0864	140930.90234375	91715.640625	109564.4375	104057.8671875	112080.765625	118635.723958333	-0.33044927444420175	0.03275911264591612	0.3712988158136555	0.18915246146086065	0.363208387090118	-0.18214635435279514
A0A0H3NJE6	STM0865	48733.982421875	6767.73809814453	124513.923828125	45087.1108398438	140925.697265625	61667.0989583333	1.5319346796253026	0.17862762423008155	3.1877553339585156	0.4517859126195068	-1.3533070553952211	-2.735969421339009
A0A0H3N9H5	STM0867	102860.921875	128233.171875	94553.083984375	96500.443359375	89586.046875	84959.8489583333	-0.19934903523225017	-0.07785046606351062	-0.5939164059848513	-0.1837543693599228	0.12149856916873955	0.41016203662492845
A0A0H3N9Y9	STM0869	15826.9208984375	21158.1801757813	10036.65625	20427.9328613281	8067.4091796875	16331.6705729167	-0.9722032722975302	-0.3151013735065922	-0.37354317368114576	-0.3228708503100939	0.6571018987909382	0.05067232337105185
A0A0H3NJF4	STM0870	36860.8491210937	19276.8605957031	45392.5244140625	40109.8881835938	43336.5751953125	46074.9583333333	0.2334958395101131	-0.06686957852144701	1.2571127459224094	0.2000249169110024	-0.30036541803156014	-1.0570878290114067
A0A0H3NB81	STM0871	3693.99493408203	4716.18157958984	4966.2158203125	4877.58825683594	3632.75238037109	4019.28930664062	-0.024118857267868176	-0.4510839285317257	-0.23067883948892826	-0.27922755203754557	-0.42696507126385735	-0.048548712548617395
A0A0H3N9I0	STM0872	233731.2265625	422764.2578125	371371.5	615193.78125	351303.40625	596025.25	0.5878670735585306	-0.08014553836001823	0.4955200396356899	-0.04566746945968008	-0.6680126119185489	-0.5411875090953702
A0A0H3N9Z5	STM0875	61369.0166015625	71238.1044921875	84503.376953125	78350.9599609375	72909.3203125	88402.9036458333	0.24859278684900984	-0.21290574376093002	0.3114446269368007	0.1741428057723221	-0.46149853060993995	-0.1373018211644786
A0A0H3NJG6	STM0876	33256.2202148437	18353.5144042969	63955.73046875	51225.3720703125	51278.9013671875	47356.1653645833	0.6247411467503382	-0.31870827812731545	1.367495921847882	-0.11330629376256361	-0.9434494248776537	-1.4808022156104457
A0A0H3NB88	STM0877	3763021.5625	5117845.8125	2138043.25	2247979.03125	2120463.34375	2173913.66666667	-0.8275120128035303	-0.011911493893073161	-1.235242036059686	-0.04833393112771264	0.815600518910457	1.1869081049319736
A0A0H3N9I4	STM0878	251188.859375	155850.47265625	163126.1875	157764.2890625	170249.71875	167587.0625	-0.5611200649026371	0.061664010906604616	0.10474824887325015	0.08714009995951846	0.6227840758092417	-0.017608148913731577
A0A0H3NET5	STM0879	196837.37890625	41609.0971679688	143003.501953125	62704.3955078125	151893.875	61007.7903645833	-0.3739405152485827	0.08701321848649501	0.552094493585758	-0.0395730990907958	0.4609537337350776	-0.591667592676554
